,popularity,budget,vote_average,Tomatoes,Profit_Margin,Success
Sultan,6.070606,10400000,7,73,0.898039216,0
Bronson,9.521043,230000,6.9,76,0.89826214,0
Ice Age: Dawn of the Dinosaurs,12.980624,90000000,6.5,46,0.898498547,0
Pitch Perfect 2,15.862632,29000000,6.8,65,0.899132608,0
The Kids Are All Right,5.899155,3500000,6.5,92,0.899152448,0
Snow Flower and the Secret Fan,2.003832,134005,5.3,22,0.89941309,0
The Pit and the Pendulum,4.392322,200000,6.9,56,0.9,0
The Kid,8.168456,250000,8,44,0.9,0
Valley of the Dolls,2.474398,5000000,6.7,33,0.9,0
Kissing Jessica Stein,3.374229,1000000,5.9,83,0.90013406,0
Godzilla 2000,2.80298,1000000,5.9,57,0.900372507,0
Born into Brothels,2.96237,350000,6.7,95,0.900428471,0
Mrs. Miniver,3.306745,1344000,6.7,94,0.900444444,0
Airport,7.873018,10000000,6.2,75,0.90048677,0
Halloween II,13.501144,2500000,6.4,23,0.902090631,0
The Twilight Saga: Eclipse,34.047399,68000000,5.9,47,0.902647327,0
Of Gods and Men,4.476836,4000000,6.5,92,0.903437777,0
A Nightmare on Elm Street 4: The Dream Master,8.120317,7000000,5.8,53,0.903448276,0
Insidious: Chapter 3,10.098792,10000000,6.3,57,0.904126263,0
Saw V,10.165499,10800000,6,13,0.905144616,0
House Party,2.291511,2500000,6.1,94,0.905252786,0
Chariots of Fire,6.877698,5500000,6.9,83,0.90673683,0
Bad Teacher,7.310686,20000000,5.4,45,0.907491989,0
Like Water for Chocolate,4.126083,2000000,6.6,87,0.907687201,0
Sleepless in Seattle,10.234919,21000000,6.5,75,0.907813825,0
The Girl Who Kicked the Hornet's Nest,8.405013,4000000,7,54,0.908041977,0
No Escape,14.13262,5000000,6.7,48,0.90812011,0
Independence Day,17.634197,75000000,6.7,68,0.908197281,0
She Done Him Wrong,1.840758,200000,5.2,90,0.909090909,0
Cool Runnings,8.30721,14000000,6.8,76,0.909598333,0
Waitress,11.276024,2000000,6.6,89,0.909826357,0
The Bellboy,2.738268,900000,6.1,73,0.91,0
Monster's Ball,6.341187,4000000,6.6,85,0.910931958,0
The Texas Chainsaw Massacre,7.810068,9500000,6.1,37,0.91127437,0
Bridget Jones's Diary,10.780524,25000000,6.6,80,0.911325442,0
Strictly Ballroom,3.233531,3000000,6.2,88,0.911624928,0
The Karate Kid,7.64499,8000000,6.9,66,0.911909367,0
Pizza,0.602301,240000,5.5,31,0.914285714,0
The Secret Life of Pets,11.01395,75000000,5.9,72,0.91433055,0
Mamma Mia!,10.534437,52000000,6.4,55,0.914731962,0
You Only Live Twice,10.359669,9500000,6.5,74,0.914862946,0
The Admiral: Roaring Currents,5.062756,9500000,7,88,0.915297164,0
The Purge: Election Year,13.1789,10000000,6.1,55,0.915674351,0
Aashiqui 2,2.831069,1300000,6.8,17,0.91875,0
On Her Majesty's Secret Service,9.356264,6500000,6.5,81,0.920707042,0
Friday the 13th: The Final Chapter,10.175913,2600000,5.9,24,0.921166446,0
Despicable Me 3,36.631519,80000000,6.2,59,0.921573501,0
Jackass: The Movie,14.095586,5000000,6.1,49,0.922218106,0
The Blue Lagoon,11.578578,4500000,5.8,8,0.923538445,0
The Boy Next Door,10.200398,4000000,4.1,12,0.923701769,0
The Spy Who Loved Me,9.781451,14000000,6.6,81,0.924503342,0
Transamerica,7.398205,1000000,6.9,77,0.925095703,0
2016: Obama's America,1.221216,2500000,4.6,26,0.925149701,0
Kindergarten Cop,3.67003,15000000,5.8,53,0.925727017,0
Arthur,14.911301,7000000,6.5,89,0.926672149,0
Saw IV,12.233863,10000000,5.9,18,0.928239605,0
The Man with the Golden Gun,12.127492,7000000,6.4,40,0.928258107,0
Bean,12.799853,18000000,6.3,43,0.928347563,0
Like Crazy,8.002786,250000,6.5,72,0.929425441,0
The Twilight Saga: New Moon,30.121292,50000000,5.6,29,0.929560347,0
Twins,5.952494,15000000,5.7,42,0.930752522,0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,8.278336,18000000,6.5,90,0.931185491,0
Hellraiser,10.81305,1000000,6.9,70,0.931337672,0
Play Misty for Me,5.820841,725000,6.5,85,0.931603774,0
Scary Movie,12.446738,19000000,6,51,0.931659537,0
Prom Night,3.65867,1000000,6,48,0.932415244,0
The Longest Yard,9.460843,2900000,6.4,31,0.932570802,0
Neighbors,11.90575,18000000,6.2,57,0.932875244,0
Teenage Mutant Ninja Turtles,13.184585,13500000,6.5,21,0.933168317,0
Beverly Hills Cop II,9.200336,20000000,6.1,46,0.933325563,0
Bob & Carol & Ted & Alice,1.81433,2000000,6.2,82,0.933333333,0
Airport 1975,8.480501,3000000,5.5,33,0.936170213,0
Rocky III,11.673366,17000000,6.6,65,0.937037037,0
March of the Penguins,9.435123,8000000,6.9,94,0.937201826,0
There's Something About Mary,11.688958,23000000,6.5,84,0.937818452,0
Diamonds Are Forever,12.00491,7200000,6.3,63,0.937941492,0
Finding Mr. Right,2.32186,4881000,6.3,86,0.94,0
The Crying Game,7.404329,3705538,6.9,94,0.940757788,0
Paranormal Activity: The Marked Ones,8.898523,5000000,5.2,39,0.942104416,0
Children of the Corn,11.84696,800000,5.6,12,0.942857143,0
The Getaway,10.037593,3352254,7,33,0.943019884,0
Can't Buy Me Love,9.104462,1800000,6.7,50,0.943080904,0
Another Earth,8.957372,100000,6.8,65,0.943723321,0
Instructions Not Included,6.507895,5500000,7.5,57,0.944482133,0
Good Guys Wear Black,2.261946,1000000,5.7,17,0.945355191,0
Carrie,9.277692,1800000,7,50,0.946745562,0
Beyond the Valley of the Dolls,3.129943,2090000,6.6,76,0.94775,0
Tadpole,9.203416,150000,5.5,77,0.948120007,0
Fahrenheit 9/11,6.83946,6000000,6.9,82,0.949628306,0
Home Alone 2: Lost in New York,13.293722,18000000,6.3,35,0.949859562,0
Cyborg,8.473602,500000,4.9,22,0.950818668,0
The Passion of the Christ,13.194168,30000000,6.9,49,0.950972335,0
Howl,5.416588,30000,6.8,63,0.951377634,0
Ouija,13.288564,5000000,4.9,5,0.951732919,0
Beverly Hills Cop,8.503483,15000000,6.8,83,0.952585734,0
The Fog,9.194572,1000000,6.4,4,0.953223729,0
American Pie,18.344227,11000000,6.4,61,0.953287499,0
The Omen,16.641277,2800000,7.2,26,0.954040331,0
Bend It Like Beckham,6.262677,3500159,6.2,85,0.954293273,0
War Room,5.384163,3000000,6.9,34,0.955745762,0
Live and Let Die,9.773768,7000000,6.4,65,0.956730785,0
Flashdance,9.888958,4000000,6.1,35,0.956952774,0
"The Beast from 20,000 Fathoms",3.424057,210000,6.7,90,0.958,0
A Haunted House,6.531373,2500000,5.4,9,0.958431493,0
I Was a Teenage Werewolf,0.75684,82000,5.2,40,0.959,0
The House on Sorority Row,1.918891,425000,6,50,0.959924511,0
The Lords of Flatbush,1.391503,160000,5.7,64,0.96,0
Your Sister's Sister,10.850569,125000,6.5,83,0.9609375,0
Thunderball,10.517835,5500000,6.5,85,0.961046961,0
The Woman in Black 2: Angel of Death,6.942139,1000000,5,23,0.962266035,0
Death Race 2000,6.064898,300000,6,81,0.9625,0
Wolf Creek,7.483385,1000000,6.1,54,0.963980381,0
Paranormal Activity 4,6.188286,5000000,5.2,23,0.964990405,0
Rocky II,11.789813,7000000,6.9,70,0.965031849,0
Cat People,5.110716,134000,6.9,92,0.9665,0
Lights Out,11.494907,4900000,6.3,75,0.967085119,0
Porky's,12.650546,4000000,6.1,34,0.968185354,0
Police Academy,8.354488,4500000,6.5,57,0.969220014,0
Kingdom of the Spiders,2.884359,500000,5.6,44,0.970588235,0
Courageous,7.666558,1000000,6.8,36,0.97103315,0
Ghoulies,4.734765,1000000,4.2,8,0.971428571,0
Pieta,5.194433,103000,6.9,73,0.971573111,0
House of Wax,9.072006,658000,7,27,0.972352941,0
Tom Jones,3.315827,1000000,6.1,80,0.973404255,0
The Last Exorcism,6.397109,1800000,5.6,72,0.973427063,0
Saw II,15.399863,4000000,6.3,37,0.973843403,0
Annabelle,23.242452,6500000,5.5,28,0.974537145,0
Look Who's Talking,5.795045,7500000,5.8,55,0.974662162,0
Phantasm,6.609336,300000,6.5,74,0.974975954,0
Valley Girl,8.438808,350000,6.2,59,0.979819641,0
The Rescuers,11.32442,1200000,6.7,79,0.983149823,0
Robot Monster,0.892476,16000,3.5,36,0.984,0
Dr. No,19.931606,950000,6.9,95,0.984060403,0
Crocodile Dundee,7.791212,5000000,6.3,89,0.98476555,0
Fireproof,5.329195,500000,7,38,0.985055139,0
My Big Fat Greek Wedding,6.719949,5000000,6.2,76,0.986440459,0
The Quiet Ones,6.322844,200000,5.1,37,0.988786011,0
Lost in Thailand,1.789133,2200000,6.1,67,0.989423077,0
Sweet Sweetback's Baadasssss Song,1.435148,150000,4.7,75,0.990131579,0
Catfish,5.174738,30000,6.5,80,0.990150833,0
The Devil Inside,5.747675,1000000,4.6,6,0.99017281,0
Facing the Giants,7.485908,100000,6.6,16,0.990175207,0
Friday the 13th,12.146747,550000,6.4,63,0.990795688,0
The Hills Have Eyes,4.788002,230000,6.1,67,0.9908,0
Keeping Mum,5.742659,169000,6.5,57,0.990896703,0
The Birth of a Nation,5.113205,100000,6.4,91,0.990909091,0
Napoleon Dynamite,10.287419,400000,6.7,72,0.991326615,0
Blood Feast,1.783412,24500,5.3,38,0.993875,0
American Graffiti,9.188584,777000,6.9,96,0.99445,0
Open Water,10.652818,130000,5.3,71,0.997622007,0
Paranormal Activity,12.706424,15000,5.9,83,0.999922423,0
Winnie the Pooh,17.357682,30000000,7.5,90,-1.074688797,1
The Assassination of Jesse James by the Coward Robert Ford,10.111313,30000000,8,77,-1.039180404,1
The People vs. Larry Flynt,19.178371,36000000,7.3,88,-0.773365382,1
The Mission,25.241995,24500000,7.4,66,-0.422927592,1
No End in Sight,10.987795,2000000,8.2,96,-0.397015834,1
Blow Out,34.536295,89000000,7.3,87,-0.2,1
Capitalism: A Love Story,25.032166,20000000,7.4,74,-0.147018592,1
Runaway Train,15.236541,9000000,7,83,-0.134070866,1
City of Life and Death,17.216103,12000000,7.6,93,-0.126496339,1
What's Eating Gilbert Grape,10.3919,11000000,7.5,90,-0.09640762,1
Ben-Hur,11.51021,100000000,8.1,96,-0.063136362,1
Lars and the Real Girl,8.025118,12000000,7.1,81,-0.062542773,1
A Royal Affair,14.168448,8000000,7.5,90,-0.053367134,1
Center Stage,40.491734,18000000,6.8,92,-0.046455351,1
The Founder,27.523343,25000000,7,81,-0.043197472,1
The Hunchback of Notre Dame,13.553999,100000000,6.8,93,0.001386585,1
The Bad News Bears,20.399441,35000000,7,97,0.009152375,1
To Die For,20.448481,50000000,6.8,88,0.060349698,1
Once Upon a Time in the West,15.589351,5000000,8.1,96,0.060416709,1
The Thief of Bagdad,10.878515,1135654,7.4,97,0.064442943,1
A Monster Calls,24.483893,43000000,6.8,86,0.078296919,1
Hugo,14.046164,170000000,7,93,0.084890706,1
John Carter,14.670353,260000000,6.1,52,0.084955221,1
Reign Over Me,10.027137,20000000,7.1,64,0.100003474,1
A Conspiracy of Faith,35.859858,5210000,7,100,0.116949153,1
The Treasure of the Sierra Madre,8.070589,3800000,7.9,100,0.117715347,1
The Shawshank Redemption,51.645403,25000000,8.5,91,0.117900346,1
Fantasia 2000,14.972573,80000000,7,81,0.119665711,1
Suffragette,8.093442,14000000,7.1,73,0.125132324,1
The Battle of Algiers,11.322173,800000,7.8,99,0.131895463,1
Dazed and Confused,6.8652,6900000,7.4,92,0.136748864,1
Fantastic Mr. Fox,8.695893,40000000,7.5,93,0.139248559,1
Kubo and the Two Strings,12.321832,60000000,7.7,97,0.141993559,1
The Train,4.412564,5800000,7.2,94,0.147058824,1
Captain Fantastic,16.519276,5000000,7.9,83,0.149621684,1
Assault on Precinct 13,11.552956,30000000,6,96,0.150008486,1
A Mighty Heart,16.770196,16000000,6.7,79,0.154730359,1
Blade Runner,96.272374,28000000,7.9,89,0.155089838,1
American History X,18.157166,20000000,8.2,83,0.162308121,1
The Last Temptation of Christ,11.370288,7000000,7,82,0.164037864,1
Donnie Brasco,12.201954,35000000,7.4,88,0.165772792,1
Fort Apache,5.499979,2500000,6.8,100,0.166666667,1
The Manchurian Candidate,7.991677,80000000,7.7,97,0.167585011,1
Carlito's Way,8.698509,30000000,7.7,81,0.178442597,1
Riding Giants,2.203949,2600000,7.6,93,0.178774479,1
Cinderella Man,6.363884,88000000,7.3,80,0.189238325,1
Black Book,7.440511,21000000,7.2,76,0.198261158,1
"Paris, Texas",11.635837,1746964,7.7,94,0.199370115,1
The Nice Guys,16.075615,50000000,7,91,0.203672256,1
Reds,5.463216,32000000,7.1,90,0.20758066,1
3:10 to Yuma,18.079094,55000000,7.7,89,0.214467733,1
Raging Bull,8.868558,18000000,7.7,93,0.217391304,1
Wings of Desire,6.357321,2500000,7.5,98,0.21875,1
Midnight Run,5.564321,30000000,7.2,95,0.219026717,1
Office Space,12.329066,10000000,7.4,80,0.22044389,1
The Abyss,9.809585,70000000,7.1,88,0.222223069,1
Marshland,11.127717,4000000,7.1,92,0.226268943,1
Kelly's Heroes,8.418662,4000000,7.2,78,0.230769231,1
Zodiac,19.083823,65000000,7.3,90,0.233363221,1
The Thing,16.83125,15000000,7.8,84,0.235854132,1
Magnolia,9.091636,37000000,7.5,83,0.236354527,1
The BFG,18.769476,140000000,6,74,0.536414681,1
Ghosts of the Abyss,4.835446,13000000,7.1,80,0.237128196,1
Broadway Danny Rose,5.892277,8000000,7.2,100,0.245318403,1
"One, Two, Three",3.044499,3000000,7.6,92,0.25,1
The Spanish Prisoner,4.305735,10000000,7.1,89,0.27720231,1
Love & Basketball,5.733227,20000000,7.5,85,0.278710513,1
"4 Months, 3 Weeks and 2 Days",9.990406,852510,7.4,96,0.281057327,1
The Diving Bell and the Butterfly,11.090265,14000000,7.5,94,0.292130151,1
Master and Commander: The Far Side of the World,8.693298,150000000,7.4,85,0.292489911,1
Blue Velvet,7.882247,6000000,7.7,95,0.29834639,1
The Devil's Backbone,11.111299,4500000,7.2,93,0.303299881,1
Eye in the Sky,10.564701,13000000,7.2,95,0.304983615,1
Three Kings,12.287636,75000000,7.1,94,0.305555556,1
The Man from U.N.C.L.E.,14.656875,75000000,7.1,68,0.30648736,1
Rope,7.248676,1500000,7.8,92,0.318181818,1
Nebraska,11.160699,12000000,7.4,91,0.320302474,1
Straw Dogs,6.632663,2200000,7.2,82,0.323450378,1
The Hurricane,5.716009,50000000,7.2,83,0.323924535,1
Glory,7.521346,18000000,7.4,94,0.32906832,1
Beasts of No Nation,11.732546,6000000,7.6,91,0.339039625,1
Belle,13.454169,10900000,7.2,95,0.339612468,1
Band of Outsiders,5.648187,120000,7.5,94,0.343749487,1
Spirit: Stallion of the Cimarron,16.724836,80000000,7.4,69,0.347277333,1
Il Divo,7.728333,7275000,7.5,92,0.353928638,1
Atlantis: The Lost Empire,10.901602,120000000,6.7,49,0.355025007,1
Jodhaa Akbar,12.237488,8376800,7.6,75,0.355630769,1
Lagaan: Once Upon a Time in India,4.97451,5200000,7.2,95,0.358024691,1
Looper,12.727269,30000000,6.6,93,0.362272012,1
High Fidelity,8.524956,30000000,7,91,0.363412719,1
Team America: World Police,11.428941,32000000,6.6,77,0.371407965,1
Red Cliff,11.867516,80341000,7.1,91,0.371425531,1
Ghostbusters,17.162744,144000000,7.8,95,0.37158383,1
Fight Club,63.869599,63000000,8.3,79,0.375333112,1
The Machinist,10.737565,5000000,7.3,77,0.390484364,1
Requiem for a Dream,6.874828,4500000,7.9,78,0.391077911,1
The Hours,14.686487,25000000,7,79,0.399007112,1
The Sand Pebbles,11.354247,12000000,7.2,89,0.4,1
Dogville,9.808595,10000000,7.6,69,0.400509663,1
Ninotchka,5.120036,1365000,7.3,97,0.401053093,1
Rust and Bone,8.400049,15400000,7.1,82,0.402220951,1
Who Killed the Electric Car?,8.570312,1000000,7.2,89,0.404362686,1
The Emperor's New Groove,12.297375,100000000,7.2,86,0.409429127,1
Blood Diamond,12.477872,100000000,7.4,63,0.41478687,1
Forbidden Planet,6.379966,1900000,7.2,96,0.415384615,1
Captain Phillips,13.776068,55000000,7.6,93,0.421052632,1
G.I. Joe: The Rise of Cobra,56.787058,175000000,5.6,33,0.421428344,1
The Virgin Suicides,10.505387,6000000,7.1,79,0.423596628,1
The Fisher King,11.184385,24000000,7.2,84,0.42714599,1
Sarah's Key,6.091224,10000000,7.2,72,0.428959932,1
Big Fish,14.739983,70000000,7.6,75,0.43051954,1
Being John Malkovich,11.416319,13000000,7.3,94,0.431410527,1
Flesh and the Devil,0.765315,373000,7.9,94,0.433130699,1
Son of Saul,6.403937,1000000,7.1,96,0.437267416,1
Rockstar,2.009033,10920000,7.4,83,0.444557477,1
Barry Lyndon,14.003467,11000000,7.7,89,0.45,1
Gone Baby Gone,6.148516,19000000,7.2,95,0.451179515,1
Lilo & Stitch,18.469238,80000000,7.1,87,0.45119598,1
Baby Boy,9.503157,16000000,7.3,71,0.455442409,1
Ip Man,6.004257,11715578,7.5,86,0.464763435,1
GoodFellas,15.424092,25000000,8.2,96,0.466227054,1
Black Hawk Down,10.064446,92000000,7.2,77,0.468176278,1
The Thin Red Line,9.783966,52000000,7.2,77,0.470072146,1
Drugstore Cowboy,8.026112,2500000,7,97,0.471386355,1
This Is Spinal Tap,13.981499,2500000,7.6,95,0.472150892,1
Rudy,5.914833,12000000,7.2,78,0.472535889,1
Rushmore,5.997054,9000000,7.5,90,0.473562699,1
The Last Emperor,11.076971,23000000,7.4,87,0.47708531,1
The Princess Bride,15.15267,16000000,7.6,97,0.481492759,1
Central Station,4.919716,2900000,7.6,94,0.481838252,1
Gangs of New York,14.922399,100000000,7.1,72,0.483930909,1
Tron,16.574021,17000000,6.6,72,0.484848485,1
The Book of Life,10.337994,50000000,7.3,83,0.48684847,1
Moon,13.336773,5000000,7.6,90,0.487710377,1
The Adventures of Robin Hood,10.685036,2033000,7.6,100,0.48932429,1
Freedom Writers,13.585233,21000000,7.6,70,0.489929558,1
Eddie the Eagle,7.528276,23000000,7.2,81,0.501651171,1
Kaminey,2.089842,9000000,7.2,100,0.503585218,1
The Remains of the Day,12.222576,11500000,7.5,96,0.505119027,1
Friday Night Lights,13.041943,30000000,7,82,0.510251425,1
Hombre,8.019495,5860000,7.2,93,0.511666667,1
Changeling,11.672394,55000000,7.3,62,0.513361565,1
Her,13.829515,23000000,7.9,94,0.514268377,1
Bolt,15.580915,150000000,6.3,90,0.516097803,1
Coraline,16.639915,60000000,7.3,90,0.518445148,1
Edge of Tomorrow,31.982986,178000000,7.6,91,0.519621642,1
The Edge of Seventeen,9.51953,9000000,7.3,94,0.52136947,1
The Secret of NIMH,10.812275,7000000,7.5,93,0.522696888,1
Little Big Man,8.186994,15000000,7.5,96,0.524708082,1
The Great Race,4.473327,12000000,7.2,72,0.526315783,1
Annie Get Your Gun,2.090588,3768785,7.3,100,0.528901875,1
The Lincoln Lawyer,6.807442,40000000,7,83,0.531686655,1
The Count of Monte Cristo,10.765924,35000000,7.3,86,0.53577853,1
Hotel Rwanda,10.262332,17500000,7.5,91,0.539473684,1
The Illusionist,11.494009,40000000,7.1,73,0.539780335,1
Terminator 3: Rise of the Machines,20.818907,200000000,5.9,69,0.540229885,1
Courage Under Fire,11.595316,46000000,6.2,86,0.543925967,1
X-Men: First Class,0.738633,160000000,7.1,86,0.547542181,1
Before Sunrise,11.304979,2500000,7.7,100,0.548361863,1
The Curious Case of Benjamin Button,17.934821,150000000,7.3,71,0.550806863,1
Trading Places,14.285052,40600000,7.1,88,0.550884956,1
Re-Animator,9.867238,900000,7,94,0.555207189,1
Road to Perdition,13.426684,80000000,7.3,81,0.558014659,1
Pacific Rim,33.949359,180000000,6.7,72,0.558393727,1
Zulu,11.604242,3500000,7.4,96,0.5625,1
Mutiny on the Bounty,7.135215,1950000,7.1,96,0.562780269,1
Living in Oblivion,10.058329,500000,7.2,86,0.564745045,1
In Bruges,9.895652,15000000,7.4,84,0.565642722,1
Mississippi Burning,13.971865,15000000,7.4,85,0.566524101,1
The Shining,19.611589,19000000,8.1,82,0.56835226,1
Training Day,13.664622,45000000,7.3,74,0.570922804,1
After Hours,6.583161,4500000,7.4,91,0.575844675,1
Blue Is the Warmest Color,4.938148,4300000,7.2,88,0.577008712,1
Alien: Covenant,72.884078,97000000,6.4,65,0.582580693,1
The Killing Fields,11.460364,14400000,7.5,93,0.585017889,1
War for the Planet of the Apes,146.161786,152000000,6.7,94,0.589086975,1
Brotherhood of the Wolf,11.564252,29000000,6.6,73,0.590122831,1
The Magnificent Seven,10.650752,2000000,7.4,89,0.592252803,1
V for Vendetta,20.214422,54000000,7.7,73,0.592486769,1
Ex Machina,14.14078,15000000,7.6,92,0.593158709,1
Star Trek Into Darkness,15.78129,190000000,7.4,84,0.593465707,1
Dangerous Liaisons,11.46781,14000000,7.1,88,0.59620106,1
The Peanuts Movie,12.338346,99000000,7.1,87,0.597941971,1
Eyes Wide Shut,13.268484,65000000,7.1,76,0.598991205,1
Batman Begins,28.505341,150000000,7.5,84,0.599164844,1
The Man Who Shot Liberty Valance,6.641827,3200000,7.4,94,0.6,1
Baahubali: The Beginning,11.80967,40000000,7.5,90,0.6,1
Mad Max: Fury Road,29.36178,150000000,7.3,97,0.604073649,1
The Wave,6.010332,7500000,7.5,68,0.605263158,1
Coach Carter,11.093737,30000000,7.3,64,0.608711675,1
The Perks of Being a Wallflower,12.775679,13000000,7.7,85,0.610778443,1
Star Trek,15.362632,150000000,7.4,94,0.61107699,1
The Girl with the Dragon Tattoo,8.907829,90000000,7.2,85,0.61309864,1
The Mask of Zorro,11.348096,95000000,6.8,83,0.620438049,1
Scarface,11.299673,25000000,8,81,0.620549249,1
Anastasia,11.911173,53000000,7.4,84,0.620898772,1
National Lampoon's Christmas Vacation,9.802574,27000000,7.1,70,0.621424565,1
Captain America: The First Avenger,19.323582,140000000,6.6,80,0.622203402,1
Edward Scissorhands,17.612244,20000000,7.5,89,0.622641509,1
Mission: Impossible III,15.687983,150000000,7,71,0.622973494,1
Prisoners,11.96262,46000000,7.9,81,0.623341948,1
King Kong,19.761164,207000000,6.6,96,0.623636364,1
American Gangster,9.644542,100000000,7.4,81,0.624716244,1
The Maltese Falcon,5.782544,375000,7.8,99,0.625,1
The World Is Not Enough,12.130127,135000000,6.4,51,0.626899084,1
The Devil's Advocate,10.920124,57000000,7.2,64,0.627316181,1
Let the Right One In,7.274237,4000000,7.5,98,0.629142054,1
The Dark Crystal,13.524001,15000000,7.3,77,0.630332463,1
The Gold Rush,6.202041,923000,7.7,100,0.6308,1
Touch of Evil,9.665347,829000,7.6,95,0.631139973,1
Bicycle Thieves,13.233136,133000,8,99,0.632304154,1
Sicko,6.766086,9000000,7.3,91,0.633229609,1
Full Metal Jacket,13.94148,17000000,7.9,91,0.63328619,1
Where Eagles Dare,12.088407,7700000,7.4,83,0.633333333,1
Elizabeth,7.566321,30000000,7.2,83,0.634817218,1
The Prestige,16.94556,40000000,8,76,0.635290432,1
Wait Until Dark,6.216637,4000000,7.5,96,0.636363636,1
Pirates of the Caribbean: On Stranger Tides,27.88772,380000000,6.4,78,0.636611854,1
Passengers,20.303632,110000000,7.1,30,0.637136328,1
"O Brother, Where Art Thou?",12.434175,26000000,7.3,79,0.638227282,1
Ip Man 2,1.9602,12902809,7.2,97,0.641588639,1
Hulk,15.422638,137000000,5.3,62,0.641637871,1
Cars 2,70.693002,200000000,6.1,40,0.642762983,1
The Hurt Locker,9.403724,15000000,7.2,97,0.642857143,1
The Matrix Revolutions,85.368205,150000000,6.4,34,0.647049033,1
Singin' in the Rain,11.064858,2540800,7.9,100,0.647111111,1
Thelma & Louise,14.785388,16000000,7.2,86,0.64727409,1
Apocalypse Now,13.5963,31500000,8,98,0.647888824,1
Terminator Genisys,30.188198,155000000,6,50,0.648209815,1
High Plains Drifter,9.91087,5500000,7.4,94,0.649681529,1
Wreck-It Ralph,13.697597,165000000,7.1,87,0.64984723,1
12 Angry Men,16.503959,350000,8.2,100,0.65,1
Bajirao Mastani,4.683689,19500000,7.2,65,0.651785714,1
Boogie Nights,7.595679,15000000,7.5,93,0.651985029,1
King of Kings,3.657476,5037000,7.2,85,0.652221392,1
"Lock, Stock and Two Smoking Barrels",4.60786,1350000,7.5,75,0.65363025,1
Amadeus,12.677592,18000000,7.8,89,0.65366652,1
Braveheart,20.755149,72000000,7.7,75,0.657142857,1
Mary and Max,8.888393,590235,7.8,95,0.65791034,1
13 Assassins,9.534232,6000000,7.1,95,0.658219777,1
Gangs of Wasseypur,9.777219,1400000,7,97,0.658536585,1
The Fifth Element,24.30526,90000000,7.3,71,0.658987805,1
The Italian Job,13.995044,60000000,7,81,0.659226775,1
Swing Time,6.507597,886000,7.1,93,0.659230769,1
The Great Escape,14.384114,4000000,7.8,94,0.659414204,1
Crimson Tide,8.657365,53000000,7,89,0.663250876,1
Secrets & Lies,11.223572,4500000,7.1,96,0.664611905,1
Tarzan,12.453452,150000000,7.1,89,0.665178571,1
The Joy Luck Club,3.01386,11000000,7.1,86,0.665258073,1
X-Men: Days of Future Past,26.058586,250000000,7.5,90,0.665714074,1
Inside Llewyn Davis,10.838063,11000000,7.2,92,0.66601204,1
Thor,29.158489,150000000,6.6,77,0.666167118,1
Selena,7.390306,20000000,7.1,67,0.666666667,1
Apocalypto,7.735233,40000000,7.3,65,0.667152873,1
Broken Arrow,14.957626,70000000,5.7,90,0.667265914,1
Identity,17.955897,30000000,7.1,63,0.667625147,1
The Sea Inside,14.69768,12806000,7.2,84,0.667680639,1
21 Grams,6.372278,20000000,7.2,81,0.669026721,1
Sweeney Todd: The Demon Barber of Fleet Street,10.038401,50000000,7,86,0.671052632,1
The Untouchables,11.062203,25000000,7.6,82,0.672219075,1
Misery,15.020845,20000000,7.6,91,0.673612583,1
Dracula Untold,26.316318,70000000,6.2,25,0.675218023,1
The Big Lebowski,15.952524,15000000,7.8,79,0.675251347,1
There Will Be Blood,8.200627,25000000,7.9,91,0.676202339,1
Open Range,16.532577,22000000,7,79,0.677874171,1
Fury,36.713807,68000000,7.4,76,0.678969539,1
Ray,10.603762,40000000,7.2,79,0.679311248,1
Dancer in the Dark,10.684806,12800000,7.7,69,0.680254829,1
Hell or High Water,12.565896,12000000,7.2,97,0.680760182,1
Charlie and the Chocolate Factory,22.038405,150000000,6.7,83,0.684189758,1
Hoosiers,6.484495,9000000,7.1,91,0.68539745,1
Excalibur,8.800455,11000000,7.1,72,0.685421611,1
Pirates of the Caribbean: At World's End,31.363664,300000000,6.9,90,0.687825182,1
Saving Mr. Banks,15.130888,35000000,7.3,79,0.689012123,1
The Talented Mr. Ripley,11.65502,40000000,7.1,85,0.68943681,1
The Departed,18.515448,90000000,7.9,91,0.689491732,1
The Goonies,14.280703,19000000,7.4,76,0.691073075,1
They Live,11.292364,4000000,7.1,85,0.692518861,1
Star Trek: First Contact,8.808497,46000000,7,92,0.693333333,1
The Piano Teacher,6.363081,3000000,7.2,73,0.693920496,1
Marnie,6.409094,2135161,7.2,83,0.694977,1
Nausicaä of the Valley of the Wind,11.267366,1000000,7.7,89,0.697102421,1
Jackie Brown,16.415498,12000000,7.3,87,0.697528521,1
North by Northwest,12.410427,4000000,7.8,97,0.698681733,1
Judgment at Nuremberg,9.697105,3000000,7.6,92,0.7,1
The Deer Hunter,7.729445,15000000,7.8,86,0.7,1
Cars 3,29.148182,175000000,6.6,69,0.700242821,1
Selma,7.107071,20000000,7.4,99,0.700544596,1
Marathon Man,6.006812,6500000,7.2,82,0.700585287,1
10 Things I Hate About You,12.069966,16000000,7.3,71,0.700812477,1
Collateral,13.455112,65000000,7,86,0.701512127,1
Amour,7.663947,8900000,7.5,93,0.701790127,1
